index,method,url_length,special_path,host,contentLength,arg_length,arg_num,digit_in_arg,letter_in_arg,label
0,1,48,8,0,0.0,142,5,15,99,1
1,1,48,8,0,0.0,73,5,10,51,1
2,1,40,9,0,0.0,0,1,0,0,1
3,1,52,8,0,0.0,114,5,18,81,1
4,1,52,8,0,0.0,65,5,4,53,1
5,1,52,8,0,0.0,59,5,7,47,1
6,1,57,8,0,0.0,5,1,1,3,1
7,1,48,8,0,0.0,12,1,1,9,1
8,1,48,8,0,0.0,34,1,0,32,1
9,1,78,11,0,0.0,0,1,0,0,1
10,1,47,8,0,0.0,104,3,32,49,1
11,1,47,8,0,0.0,43,3,5,32,1
12,1,47,8,0,0.0,41,3,4,32,1
13,1,50,8,0,0.0,312,13,71,207,1
14,1,50,8,0,0.0,296,13,69,197,1
15,1,50,8,0,0.0,242,13,37,180,1
16,1,50,8,0,0.0,241,13,37,180,1
17,1,39,8,0,0.0,0,1,0,0,1
18,1,48,8,0,0.0,20,1,2,15,1
19,1,48,8,0,0.0,18,1,1,15,1
20,1,66,9,0,0.0,0,1,0,0,1
21,1,34,6,0,0.0,0,1,0,0,1
22,1,40,7,0,0.0,0,1,0,0,1
23,1,51,8,0,0.0,0,1,0,0,1
24,1,80,14,0,0.0,0,1,0,0,1
25,1,49,9,0,0.0,0,1,0,0,1
26,1,52,9,0,0.0,0,1,0,0,1
27,1,49,8,0,0.0,386,13,64,274,1
28,1,49,8,0,0.0,212,13,31,159,1
29,1,49,8,0,0.0,225,13,37,165,1
30,1,49,8,0,0.0,217,13,35,161,1
31,1,41,9,0,0.0,0,1,0,0,1
32,1,49,7,0,0.0,0,1,0,0,1
33,1,48,8,0,0.0,132,5,18,93,1
34,1,48,8,0,0.0,72,5,9,51,1
35,1,48,8,0,0.0,70,5,8,51,1
36,1,51,8,0,0.0,0,1,0,0,1
37,1,52,8,0,0.0,131,5,34,82,1
38,1,52,8,0,0.0,67,5,6,53,1
39,1,52,8,0,0.0,60,5,7,48,1
40,1,49,6,0,0.0,0,1,0,0,1
41,1,57,8,0,0.0,8,1,3,3,1
42,1,57,8,0,0.0,5,1,1,3,1
43,1,61,9,0,0.0,0,1,0,0,1
44,1,43,8,0,0.0,0,1,0,0,1
45,1,48,8,0,0.0,113,1,27,74,1
46,1,48,8,0,0.0,55,1,15,23,1
47,1,48,8,0,0.0,34,1,0,32,1
48,1,54,9,0,0.0,0,1,0,0,1
49,1,40,7,0,0.0,0,1,0,0,1
50,1,47,8,0,0.0,97,3,34,53,1
51,1,47,8,0,0.0,39,3,6,29,1
52,1,47,8,0,0.0,42,3,5,32,1
53,1,61,8,0,0.0,0,1,0,0,1
54,1,50,8,0,0.0,294,13,68,184,1
55,1,50,8,0,0.0,242,13,44,171,1
56,1,50,8,0,0.0,231,13,40,167,1
57,1,48,8,0,0.0,83,1,28,44,1
58,1,48,8,0,0.0,18,1,1,15,1
59,1,74,11,0,0.0,0,1,0,0,1
60,1,61,10,0,0.0,0,1,0,0,1
61,1,49,8,0,0.0,268,13,60,180,1
62,1,49,8,0,0.0,220,13,38,159,1
63,1,49,8,0,0.0,222,13,39,160,1
64,1,60,11,0,0.0,0,1,0,0,1
65,1,40,7,0,0.0,0,1,0,0,1
66,1,48,9,0,0.0,0,1,0,0,1
67,1,46,8,0,0.0,0,1,0,0,1
68,1,51,9,0,0.0,0,1,0,0,1
69,1,48,8,0,0.0,139,5,48,73,1
70,1,48,8,0,0.0,68,5,8,48,1
71,1,52,8,0,0.0,62,5,7,47,1
72,1,52,8,0,0.0,56,5,5,46,1
73,1,57,8,0,0.0,9,1,5,2,1
74,1,57,8,0,0.0,5,1,1,3,1
75,1,58,9,0,0.0,0,1,0,0,1
76,1,48,8,0,0.0,70,1,32,31,1
77,1,48,8,0,0.0,34,1,0,32,1
78,1,47,8,0,0.0,43,3,5,32,1
79,1,47,8,0,0.0,41,3,4,32,1
80,1,50,8,0,0.0,255,13,50,174,1
81,1,50,8,0,0.0,229,13,40,165,1
82,1,50,8,0,0.0,234,13,39,171,1
83,1,40,9,0,0.0,0,1,0,0,1
84,1,48,8,0,0.0,102,1,28,60,1
85,1,48,8,0,0.0,18,1,1,15,1
86,1,25,5,0,0.0,0,1,0,0,1
87,1,68,12,0,0.0,0,1,0,0,1
88,1,43,8,0,0.0,0,1,0,0,1
89,1,52,9,0,0.0,0,1,0,0,1
90,1,86,12,0,0.0,0,1,0,0,1
91,1,72,10,0,0.0,0,1,0,0,1
92,1,49,8,0,0.0,244,13,44,177,1
