method,url_length,special_path,host,contentLength,arg_length,arg_num,digit_in_arg,letter_in_arg,label
1,39,7,0,0.0,0,1,0,0,0
1,48,8,0,0.0,64,5,8,47,0
1,52,8,0,0.0,59,5,4,49,0
1,57,8,0,0.0,4,1,1,2,0
1,49,8,0,0.0,0,1,0,0,0
1,48,8,0,0.0,33,1,0,31,0
1,50,8,0,0.0,0,1,0,0,0
1,47,8,0,0.0,41,3,5,31,0
1,51,8,0,0.0,0,1,0,0,0
1,50,8,0,0.0,220,13,43,154,0
1,48,8,0,0.0,17,1,1,14,0
1,49,8,0,0.0,0,1,0,0,0
1,46,8,0,0.0,0,1,0,0,0
1,47,8,0,0.0,0,1,0,0,0
1,48,8,0,0.0,0,1,0,0,0
1,58,9,0,0.0,0,1,0,0,0
1,57,9,0,0.0,0,1,0,0,0
1,58,9,0,0.0,0,1,0,0,0
1,48,8,0,0.0,0,1,0,0,0
1,49,8,0,0.0,222,13,34,166,0
1,48,8,0,0.0,0,1,0,0,0
1,48,8,0,0.0,0,1,0,0,0
1,44,8,0,0.0,0,1,0,0,0
1,44,8,0,0.0,0,1,0,0,0
1,44,8,0,0.0,0,1,0,0,0
1,50,8,0,0.0,0,1,0,0,0
1,47,8,0,0.0,0,1,0,0,0
1,56,8,0,0.0,0,1,0,0,0
1,39,7,0,0.0,0,1,0,0,0
1,48,8,0,0.0,68,5,8,51,0
1,52,8,0,0.0,62,5,8,48,0
1,57,8,0,0.0,4,1,1,2,0
1,49,8,0,0.0,0,1,0,0,0
1,48,8,0,0.0,33,1,0,31,0
1,50,8,0,0.0,0,1,0,0,0
1,47,8,0,0.0,40,3,4,31,0
1,51,8,0,0.0,0,1,0,0,0
1,50,8,0,0.0,219,13,35,164,0
1,48,8,0,0.0,17,1,1,14,0
1,49,8,0,0.0,0,1,0,0,0
1,46,8,0,0.0,0,1,0,0,0
1,47,8,0,0.0,0,1,0,0,0
1,48,8,0,0.0,0,1,0,0,0
1,58,9,0,0.0,0,1,0,0,0
1,57,9,0,0.0,0,1,0,0,0
1,58,9,0,0.0,0,1,0,0,0
1,48,8,0,0.0,0,1,0,0,0
1,49,8,0,0.0,229,13,41,167,0
1,48,8,0,0.0,0,1,0,0,0
1,48,8,0,0.0,0,1,0,0,0
1,44,8,0,0.0,0,1,0,0,0
1,44,8,0,0.0,0,1,0,0,0
1,44,8,0,0.0,0,1,0,0,0
1,50,8,0,0.0,0,1,0,0,0
1,47,8,0,0.0,0,1,0,0,0
1,56,8,0,0.0,0,1,0,0,0
1,39,7,0,0.0,0,1,0,0,0
1,48,8,0,0.0,67,5,7,51,0
1,52,8,0,0.0,55,5,1,49,0
1,57,8,0,0.0,4,1,1,2,0
1,49,8,0,0.0,0,1,0,0,0
1,48,8,0,0.0,33,1,0,31,0
1,50,8,0,0.0,0,1,0,0,0
1,47,8,0,0.0,41,3,5,31,0
1,51,8,0,0.0,0,1,0,0,0
1,50,8,0,0.0,228,13,39,167,0
1,48,8,0,0.0,17,1,1,14,0
1,49,8,0,0.0,0,1,0,0,0
1,46,8,0,0.0,0,1,0,0,0
1,47,8,0,0.0,0,1,0,0,0
1,48,8,0,0.0,0,1,0,0,0
1,58,9,0,0.0,0,1,0,0,0
1,57,9,0,0.0,0,1,0,0,0
1,58,9,0,0.0,0,1,0,0,0
1,48,8,0,0.0,0,1,0,0,0
1,49,8,0,0.0,264,13,40,198,0
1,48,8,0,0.0,0,1,0,0,0
1,48,8,0,0.0,0,1,0,0,0
1,44,8,0,0.0,0,1,0,0,0
1,44,8,0,0.0,0,1,0,0,0
1,44,8,0,0.0,0,1,0,0,0
1,50,8,0,0.0,0,1,0,0,0
1,47,8,0,0.0,0,1,0,0,0
1,56,8,0,0.0,0,1,0,0,0
1,39,7,0,0.0,0,1,0,0,0
1,48,8,0,0.0,63,5,7,47,0
1,52,8,0,0.0,55,5,1,49,0
1,57,8,0,0.0,4,1,1,2,0
1,49,8,0,0.0,0,1,0,0,0
1,48,8,0,0.0,33,1,0,31,0
1,50,8,0,0.0,0,1,0,0,0
1,47,8,0,0.0,36,3,5,28,0
1,51,8,0,0.0,0,1,0,0,0
1,50,8,0,0.0,255,13,43,183,0
1,48,8,0,0.0,17,1,1,14,0
1,49,8,0,0.0,0,1,0,0,0
