method,url_length,special_path,host,contentLength,arg_length,arg_num,digit_in_arg,letter_in_arg
1,44,8,0,0.0,0,1,0,0
1,42,7,0,0.0,0,1,0,0
2,57,8,0,4.0,4,1,1,2
1,48,8,0,0.0,17,1,1,14
1,49,8,0,0.0,0,1,0,0
2,49,8,0,428.0,416,13,67,299
2,47,8,0,38.0,36,3,5,28
2,49,8,0,252.0,240,13,42,173
2,50,8,0,268.0,256,13,38,190
2,47,8,0,38.0,36,3,5,28
1,58,9,0,0.0,0,1,0,0
1,52,8,0,0.0,55,5,4,46
1,49,8,0,0.0,0,1,0,0
1,49,8,0,0.0,0,1,0,0
1,50,8,0,0.0,256,13,38,192
1,49,8,0,0.0,0,1,0,0
1,50,8,0,0.0,0,1,0,0
1,48,8,0,0.0,33,1,0,31
2,52,8,0,61.0,57,5,9,42
1,48,8,0,0.0,18,1,1,15
1,46,8,0,0.0,0,1,0,0
1,47,8,0,0.0,0,1,0,0
1,47,8,0,0.0,0,1,0,0
1,48,8,0,0.0,71,5,10,50
1,58,9,0,0.0,0,1,0,0
1,58,9,0,0.0,0,1,0,0
1,48,8,0,0.0,33,1,0,31
1,47,8,0,0.0,90,3,12,59
2,49,8,0,269.0,257,13,41,189
1,47,8,0,0.0,0,1,0,0
2,57,8,0,4.0,4,1,1,2
1,47,8,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
1,46,8,0,0.0,0,1,0,0
1,52,8,0,0.0,62,5,4,52
2,47,8,0,43.0,41,3,5,31
2,49,8,0,245.0,233,13,38,173
1,56,8,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
1,49,8,0,0.0,0,1,0,0
1,44,8,0,0.0,0,1,0,0
2,47,8,0,42.0,40,3,4,31
1,44,8,0,0.0,0,1,0,0
1,50,8,0,0.0,223,13,41,160
1,49,8,0,0.0,0,1,0,0
1,44,8,0,0.0,0,1,0,0
2,48,8,0,68.0,64,5,7,48
2,52,8,0,68.0,64,5,11,47
2,48,8,0,34.0,34,1,0,32
1,58,9,0,0.0,0,1,0,0
1,52,8,0,0.0,53,5,3,45
1,47,8,0,0.0,39,3,6,29
1,51,8,0,0.0,0,1,0,0
1,44,8,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
1,57,9,0,0.0,0,1,0,0
1,57,8,0,0.0,5,1,1,3
1,49,8,0,0.0,237,13,42,171
1,50,8,0,0.0,217,13,43,150
2,57,8,0,5.0,5,1,1,3
